Modelo,Dataset,n_estimators,Score_mean,Score_std,Oracle_mean,Oracle_std
AdaBoost,1,10,0.69,0.02,1.00,0.00
AdaBoost,1,20,0.69,0.02,1.00,0.00
AdaBoost,1,30,0.69,0.02,1.00,0.00
AdaBoost,1,40,0.69,0.02,0.95,0.08
AdaBoost,1,50,0.72,0.01,1.00,0.00
AdaBoost,1,60,0.70,0.04,0.99,0.02
AdaBoost,1,70,0.70,0.02,0.98,0.03
AdaBoost,1,80,0.68,0.03,0.98,0.03
AdaBoost,1,90,0.70,0.02,0.99,0.01
AdaBoost,1,100,0.68,0.03,1.00,0.00
AdaBoost,2,10,0.96,0.02,0.99,0.01
AdaBoost,2,20,0.96,0.03,1.00,0.01
AdaBoost,2,30,0.96,0.03,1.00,0.00
AdaBoost,2,40,0.96,0.01,1.00,0.01
AdaBoost,2,50,0.96,0.02,0.99,0.01
AdaBoost,2,60,0.95,0.03,1.00,0.00
AdaBoost,2,70,0.96,0.01,1.00,0.00
AdaBoost,2,80,0.96,0.03,1.00,0.00
AdaBoost,2,90,0.97,0.01,1.00,0.01
AdaBoost,2,100,0.97,0.02,1.00,0.01
AdaBoost,3,10,0.98,0.01,1.00,0.00
AdaBoost,3,20,1.00,0.01,1.00,0.00
AdaBoost,3,30,0.99,0.01,1.00,0.00
AdaBoost,3,40,0.99,0.01,1.00,0.00
AdaBoost,3,50,0.98,0.01,1.00,0.00
AdaBoost,3,60,0.99,0.01,1.00,0.00
AdaBoost,3,70,0.99,0.00,1.00,0.00
AdaBoost,3,80,0.99,0.01,1.00,0.00
AdaBoost,3,90,0.99,0.01,1.00,0.00
AdaBoost,3,100,0.99,0.01,1.00,0.00
AdaBoost,4,10,0.42,0.02,0.97,0.01
AdaBoost,4,20,0.41,0.02,1.00,0.00
AdaBoost,4,30,0.42,0.02,1.00,0.00
AdaBoost,4,40,0.42,0.02,1.00,0.00
AdaBoost,4,50,0.43,0.01,1.00,0.00
AdaBoost,4,60,0.44,0.02,1.00,0.00
AdaBoost,4,70,0.41,0.03,1.00,0.00
AdaBoost,4,80,0.40,0.02,1.00,0.00
AdaBoost,4,90,0.41,0.02,1.00,0.00
AdaBoost,4,100,0.41,0.03,1.00,0.00
AdaBoost,5,10,0.77,0.23,0.96,0.07
AdaBoost,5,20,0.72,0.19,0.99,0.02
AdaBoost,5,30,0.70,0.20,1.00,0.00
AdaBoost,5,40,0.69,0.21,1.00,0.00
AdaBoost,5,50,0.63,0.20,1.00,0.00
AdaBoost,5,60,0.68,0.18,1.00,0.00
AdaBoost,5,70,0.67,0.17,1.00,0.00
AdaBoost,5,80,0.67,0.20,0.99,0.01
AdaBoost,5,90,0.64,0.20,1.00,0.00
AdaBoost,5,100,0.67,0.21,1.00,0.00
