Modelo,Dataset,n_estimators,Score_mean,Score_std,Oracle_mean,Oracle_std
Bagging,1,10,0.72,0.03,0.99,0.01
Bagging,1,20,0.71,0.02,1.00,0.00
Bagging,1,30,0.70,0.02,1.00,0.00
Bagging,1,40,0.70,0.02,1.00,0.00
Bagging,1,50,0.71,0.01,1.00,0.00
Bagging,1,60,0.72,0.01,1.00,0.00
Bagging,1,70,0.72,0.02,1.00,0.00
Bagging,1,80,0.73,0.01,1.00,0.00
Bagging,1,90,0.72,0.02,1.00,0.00
Bagging,1,100,0.72,0.01,1.00,0.00
Bagging,2,10,0.97,0.02,0.99,0.02
Bagging,2,20,0.97,0.02,0.99,0.01
Bagging,2,30,0.97,0.02,0.99,0.01
Bagging,2,40,0.97,0.02,1.00,0.01
Bagging,2,50,0.97,0.02,1.00,0.01
Bagging,2,60,0.97,0.02,1.00,0.00
Bagging,2,70,0.97,0.02,1.00,0.01
Bagging,2,80,0.97,0.02,1.00,0.01
Bagging,2,90,0.97,0.02,1.00,0.01
Bagging,2,100,0.97,0.02,1.00,0.01
Bagging,3,10,0.99,0.01,1.00,0.00
Bagging,3,20,0.99,0.01,1.00,0.00
Bagging,3,30,0.99,0.01,1.00,0.00
Bagging,3,40,0.99,0.01,1.00,0.00
Bagging,3,50,0.99,0.01,1.00,0.00
Bagging,3,60,0.99,0.01,1.00,0.00
Bagging,3,70,0.99,0.01,1.00,0.00
Bagging,3,80,0.99,0.01,1.00,0.00
Bagging,3,90,0.99,0.01,1.00,0.00
Bagging,3,100,0.99,0.01,1.00,0.00
Bagging,4,10,0.49,0.04,0.92,0.02
Bagging,4,20,0.50,0.03,0.96,0.01
Bagging,4,30,0.50,0.04,0.97,0.02
Bagging,4,40,0.50,0.03,0.98,0.00
Bagging,4,50,0.51,0.04,0.98,0.00
Bagging,4,60,0.51,0.04,0.99,0.01
Bagging,4,70,0.51,0.04,0.99,0.00
Bagging,4,80,0.52,0.04,0.99,0.00
Bagging,4,90,0.51,0.03,0.99,0.00
Bagging,4,100,0.51,0.04,0.99,0.00
Bagging,5,10,0.79,0.24,0.84,0.23
Bagging,5,20,0.80,0.25,0.85,0.23
Bagging,5,30,0.79,0.24,0.88,0.17
Bagging,5,40,0.79,0.24,0.88,0.17
Bagging,5,50,0.80,0.25,0.87,0.20
Bagging,5,60,0.79,0.25,0.90,0.14
Bagging,5,70,0.79,0.25,0.88,0.19
Bagging,5,80,0.79,0.24,0.88,0.18
Bagging,5,90,0.79,0.25,0.90,0.15
Bagging,5,100,0.79,0.25,0.89,0.19
