Modelo,Dataset,n_estimators,Score_mean,Score_std,Oracle_mean,Oracle_std
RLO,1,10,0.66,0.03,0.66,0.03
RLO,1,20,0.66,0.04,0.66,0.04
RLO,1,30,0.64,0.03,0.64,0.03
RLO,1,40,0.58,0.04,0.58,0.04
RLO,1,50,0.60,0.06,0.60,0.06
RLO,1,60,0.62,0.05,0.62,0.05
RLO,1,70,0.63,0.05,0.63,0.05
RLO,1,80,0.65,0.05,0.65,0.05
RLO,1,90,0.62,0.07,0.62,0.07
RLO,1,100,0.64,0.05,0.64,0.05
RLO,2,10,0.93,0.07,0.93,0.07
RLO,2,20,0.95,0.03,0.95,0.03
RLO,2,30,0.94,0.03,0.94,0.03
RLO,2,40,0.94,0.07,0.94,0.07
RLO,2,50,0.95,0.03,0.95,0.03
RLO,2,60,0.97,0.02,0.97,0.02
RLO,2,70,0.97,0.01,0.97,0.01
RLO,2,80,0.93,0.04,0.93,0.04
RLO,2,90,0.91,0.08,0.91,0.08
RLO,2,100,0.94,0.03,0.94,0.03
RLO,3,10,0.97,0.01,0.97,0.01
RLO,3,20,0.92,0.02,0.92,0.02
RLO,3,30,0.95,0.04,0.95,0.04
RLO,3,40,0.92,0.04,0.92,0.04
RLO,3,50,0.95,0.03,0.95,0.03
RLO,3,60,0.93,0.05,0.93,0.05
RLO,3,70,0.94,0.01,0.94,0.01
RLO,3,80,0.91,0.04,0.91,0.04
RLO,3,90,0.95,0.06,0.95,0.06
RLO,3,100,0.97,0.02,0.97,0.02
RLO,4,10,0.35,0.06,0.35,0.06
RLO,4,20,0.34,0.06,0.34,0.06
RLO,4,30,0.41,0.02,0.41,0.02
RLO,4,40,0.40,0.05,0.40,0.05
RLO,4,50,0.36,0.07,0.36,0.07
RLO,4,60,0.38,0.04,0.38,0.04
RLO,4,70,0.37,0.08,0.37,0.08
RLO,4,80,0.37,0.06,0.37,0.06
RLO,4,90,0.37,0.08,0.37,0.08
RLO,4,100,0.41,0.06,0.41,0.06
RLO,5,10,0.62,0.26,0.62,0.26
RLO,5,20,0.55,0.30,0.55,0.30
RLO,5,30,0.63,0.28,0.63,0.28
RLO,5,40,0.70,0.23,0.70,0.23
RLO,5,50,0.63,0.28,0.63,0.28
RLO,5,60,0.57,0.30,0.57,0.30
RLO,5,70,0.73,0.22,0.73,0.22
RLO,5,80,0.17,0.12,0.17,0.12
RLO,5,90,0.76,0.24,0.76,0.24
RLO,5,100,0.52,0.25,0.52,0.25
