Modelo,Dataset,n_estimators,Score_mean,Score_std,Oracle_mean,Oracle_std
RS (50%),1,10,0.69,0.02,0.99,0.01
RS (50%),1,20,0.67,0.04,1.00,0.00
RS (50%),1,30,0.70,0.02,1.00,0.00
RS (50%),1,40,0.71,0.03,1.00,0.00
RS (50%),1,50,0.70,0.04,1.00,0.00
RS (50%),1,60,0.71,0.03,1.00,0.00
RS (50%),1,70,0.70,0.05,1.00,0.00
RS (50%),1,80,0.71,0.04,1.00,0.00
RS (50%),1,90,0.72,0.03,1.00,0.00
RS (50%),1,100,0.72,0.03,1.00,0.00
RS (50%),2,10,0.96,0.02,0.99,0.01
RS (50%),2,20,0.97,0.02,1.00,0.00
RS (50%),2,30,0.97,0.01,1.00,0.01
RS (50%),2,40,0.98,0.01,1.00,0.00
RS (50%),2,50,0.97,0.02,1.00,0.00
RS (50%),2,60,0.97,0.02,1.00,0.00
RS (50%),2,70,0.97,0.01,1.00,0.00
RS (50%),2,80,0.97,0.01,1.00,0.00
RS (50%),2,90,0.97,0.01,1.00,0.00
RS (50%),2,100,0.97,0.01,1.00,0.00
RS (50%),3,10,0.79,0.06,1.00,0.00
RS (50%),3,20,0.86,0.05,1.00,0.00
RS (50%),3,30,0.91,0.02,1.00,0.00
RS (50%),3,40,0.88,0.03,1.00,0.00
RS (50%),3,50,0.89,0.02,1.00,0.00
RS (50%),3,60,0.91,0.01,1.00,0.00
RS (50%),3,70,0.89,0.02,1.00,0.00
RS (50%),3,80,0.91,0.01,1.00,0.00
RS (50%),3,90,0.91,0.01,1.00,0.00
RS (50%),3,100,0.90,0.02,1.00,0.00
RS (50%),4,10,0.46,0.01,0.93,0.01
RS (50%),4,20,0.48,0.02,0.96,0.01
RS (50%),4,30,0.50,0.03,0.98,0.01
RS (50%),4,40,0.49,0.03,0.99,0.00
RS (50%),4,50,0.49,0.02,0.99,0.00
RS (50%),4,60,0.50,0.02,0.99,0.00
RS (50%),4,70,0.50,0.03,0.99,0.01
RS (50%),4,80,0.51,0.02,0.99,0.00
RS (50%),4,90,0.50,0.03,0.99,0.00
RS (50%),4,100,0.49,0.03,1.00,0.00
RS (50%),5,10,0.78,0.25,0.89,0.19
RS (50%),5,20,0.77,0.25,0.94,0.07
RS (50%),5,30,0.78,0.25,0.94,0.12
RS (50%),5,40,0.78,0.25,0.99,0.02
RS (50%),5,50,0.78,0.24,0.99,0.02
RS (50%),5,60,0.78,0.25,0.95,0.08
RS (50%),5,70,0.78,0.25,0.98,0.03
RS (50%),5,80,0.78,0.25,0.99,0.02
RS (50%),5,90,0.78,0.25,0.97,0.05
RS (50%),5,100,0.78,0.25,0.99,0.02
